Unit,Way,Keel_Date,Delivery_Date,Yard_Cost, Procurement_Cost,Facilities_Cost,Admin_Cost,TC,VC,FC,Yard,Direct_Hours,Indirect_Hours,Total_ManHours,Way_Days,Outfitting_Days,Total_Production_Days
380,9,8/26/44,10/14/44,945504,888165,65107,18815.4123,1917591.412,1833669,83922.4123,Bethlehem,372963,132683,505646,32,17,49
381,1,8/30/44,10/21/44,816105,855740,59362,17155.6818,1748362.682,1671845,76517.6818,Bethlehem,319824,113271,433095,36,16,52
382,12,9/4/44,10/25/44,832513,855740,59944,17323.8216,1765520.822,1688253,77267.8216,Bethlehem,324674,115686,440360,36,15,51
383,2,9/16/44,10/30/44,874810,855740,61446,17757.7494,1809753.749,1730550,79203.7494,Bethlehem,337499,122181,459680,32,12,44
384,16,9/21/44,10/31/44,855740,855740,61974,17910.2886,1791364.289,1711480,79884.2886,Bethlehem,341448,124193,465641,28,12,40
1,1,5/24/41,2/21/42,2761167,888165,129575,37445,3816352,3649332,167020,California,1260947,474058,1735005,126,147,273
2,2,5/24/41,3/7/42,2496684,888165,120185,34732,3539766,3384849,154917,California,1131805,425504,1557309,155,132,287
3,3,6/21/41,3/21/42,2567434,888165,122697,35458,3613754,3455599,158155,California,1166351,438492,1604843,148,125,273
4,4,6/27/41,3/30/42,2384151,888165,116189,33577,3422082,3272316,149766,California,1076857,404846,1481703,159,117,276
5,5,7/10/41,4/8/42,2347975,888165,114904,33206,3384250,3236140,148110,California,1059193,398205,1457398,164,108,272
6,6,7/17/41,4/15/42,2290809,888165,112875,32619,3324468,3178974,145494,California,1031280,387711,1418991,181,91,272
7,7,7/23/41,4/24/42,2218177,888165,110296,31874,3248512,3106342,142170,California,995815,374377,1370192,189,86,275
8,8,7/31/41,4/28/42,2093410,888165,105866,30594,3118035,2981575,136460,California,934894,351473,1286367,184,87,271
9,9,9/11/41,4/30/42,1929247,888165,100037,28909,2946358,2817412,128946,California,854799,321360,1176159,154,77,231
10,10,9/15/41,5/9/42,1746067,888165,93533,27030,2754795,2634232,120563,California,542908,204101,747009,156,80,236
11,11,9/22/41,5/20/42,1748013,888165,93602,27050,2756830,2636178,120652,California,543858,204458,748316,159,81,240
12,1,9/29/41,5/7/42,1929597,888165,100049,28913,2946724,2817762,128962,California,854907,321401,1176308,128,92,220
13,12,10/6/41,5/29/42,1684709,888165,91354,26400,2690628,2572874,117754,California,512948,192837,705785,156,79,235
14,13,10/13/41,5/16/42,1739985,888165,93317,26967,2748434,2628150,120284,California,762386,286617,1049003,160,55,215
15,14,10/20/41,5/20/42,1778000,888165,94667,27357,2788189,2666165,122024,California,780948,293595,1074543,162,50,212
16,2,10/27/41,5/9/42,1837617,888165,96783,27969,2850534,2725782,124752,California,809995,304516,1114511,120,74,194
17,3,11/17/41,5/13/42,1679122,888165,91156,26343,2684786,2567287,117499,California,732605,275420,1008025,109,68,177
18,4,12/3/41,6/10/42,1679828,888165,91181,26350,2685524,2567993,117531,California,510502,191918,702420,120,69,189
19,5,12/22/41,5/23/42,1653555,888165,90248,26080,2658048,2541720,116328,California,720121,270726,990847,107,45,152
20,6,1/14/42,6/20/42,1641279,888165,89812,25954,2645210,2529444,115766,California,491679,184841,676520,90,67,157
21,7,1/28/42,5/27/42,1589168,888165,87962,25420,2590715,2477333,113382,California,688682,258906,947588,78,41,119
22,8,1/31/42,5/29/42,1588189,888165,87927,25410,2589691,2476354,113337,California,688204,258727,946931,80,38,118
23,1,2/4/42,6/3/42,1584738,888165,87804,25374,2586081,2472903,113178,California,686519,258093,944612,82,37,119
24,9,2/12/42,6/6/42,1618165,888165,88991,25717,2621038,2506330,114708,California,702904,264254,967158,77,37,114
25,10,2/18/42,6/9/42,1569005,888165,87246,25213,2569629,2457170,112459,California,678900,255229,934129,76,35,111
26,2,2/24/42,6/13/42,1485944,888165,84297,24360,2482766,2374109,108657,California,638280,239958,878238,78,31,109
27,11,2/28/42,6/11/42,1502056,888165,84869,24526,2499616,2390221,109395,California,646210,242939,889149,70,33,103
28,3,3/6/42,6/16/42,1430186,888165,82317,23788,2424456,2318351,106105,California,611117,229745,840862,71,31,102
29,12,3/11/42,6/18/42,1502185,888165,84873,24527,2499750,2390350,109400,California,646210,242939,889149,69,30,99
30,13,3/22/42,6/20/42,1459828,888165,83369,24093,2455455,2347993,107462,California,625591,235187,860778,62,28,90
31,14,3/31/42,6/22/42,1442138,888165,82741,23911,2436955,2330303,106652,California,616953,231939,848892,57,26,83
32,4,4/2/42,6/24/42,1433305,888165,82428,23820,2427718,2321470,106248,California,612577,230294,842871,62,21,83
33,5,4/8/42,6/26/42,1383802,888165,80670,23312,2375949,2271967,103982,California,588406,221207,809613,60,19,79
34,6,4/14/42,6/28/42,1381382,888165,80584,23288,2373419,2269547,103872,California,587224,220762,807986,56,19,75
35,7,4/16/42,6/30/42,1379276,888165,80509,23266,2371216,2267441,103775,California,586196,220376,806572,57,18,75
36,8,4/21/42,7/6/42,1419626,888165,81942,23680,2413413,2307791,105622,California,594095,223346,817441,54,22,76
37,1,4/27/42,7/10/42,1351740,888165,79532,22983,2342420,2239905,102515,California,560948,210884,771832,53,21,74
38,9,4/30/42,7/14/42,1375453,888165,80373,23227,2367218,2263618,103600,California,580317,218166,798483,52,23,75
39,10,5/5/42,7/16/42,1351776,888165,79533,22984,2342458,2239941,102517,California,568756,213819,782575,49,23,72
40,11,5/9/42,7/19/42,1344528,888165,79275,22909,2334877,2232693,102184,California,565217,212489,777706,49,22,71
41,2,5/13/42,7/21/42,1312040,888165,78122,22576,2300903,2200205,100698,California,541563,203596,745159,47,22,69
42,3,5/16/42,7/25/42,1352054,888165,79543,22987,2342749,2240219,102530,California,561101,210941,772042,48,22,70
43,12,5/20/42,7/23/42,1250404,888165,75933,21944,2236446,2138569,97877,California,519258,195210,714468,41,23,64
44,13,5/23/42,7/27/42,1287258,888165,77242,22322,2274987,2175423,99564,California,537253,201975,739228,48,17,65
45,14,5/27/42,7/31/42,1271800,888165,76693,22163,2258821,2159965,98856,California,529705,199138,728843,46,19,65
46,4,6/3/42,8/4/42,1279462,888165,76963,22242,2266832,2167627,99205,California,522502,196429,718931,32,30,62
47,5,6/7/42,8/6/42,1254239,888165,76070,21983,2240457,2142404,98053,California,508457,191149,699606,42,18,60
48,6,6/9/42,8/10/42,1241427,888165,75616,21852,2227060,2129592,97468,California,502223,188806,691029,42,20,62
49,7,6/12/42,8/13/42,1225079,888165,75034,21684,2209962,2113244,96718,California,494219,185796,680015,42,20,62
50,8,6/14/42,8/15/42,1234010,888165,75351,21775,2219301,2122175,97126,California,511253,192200,703453,42,20,62
51,1,6/19/42,8/18/42,1210864,888165,74329,21538,2194896,2099029,95867,California,499951,187832,687783,40,20,60
52,9,6/21/42,8/20/42,1232482,888165,75297,21760,2217704,2120647,97057,California,510507,191801,702308,40,20,60
53,10,6/23/42,8/25/42,1233314,888165,75327,21768,2218574,2121479,97095,California,509008,191237,700245,42,21,63
54,11,6/27/42,8/27/42,1198009,888165,74073,21406,2181653,2086174,95479,California,488792,183635,672427,42,19,61
55,2,6/29/42,8/29/42,1196092,888165,74005,21386,2179648,2084257,95391,California,489257,181995,671252,42,19,61
56,12,6/30/42,8/30/42,1320473,888165,78421,22663,2309722,2208638,101084,California,491227,164673,655900,44,17,61
57,3,7/3/42,9/3/42,1317646,888165,78321,22634,2306766,2205811,100955,California,515353,172764,688117,43,19,62
58,13,7/10/42,9/5/42,1254162,888165,76067,21982,2240376,2142327,98049,California,466253,156298,622551,38,19,57
59,14,7/12/42,9/8/42,1229278,888165,75183,21727,2214353,2117443,96910,California,464066,155565,619631,38,20,58
60,4,7/15/42,9/10/42,1203053,888165,74252,21458,2186928,2091218,95710,California,467761,156804,624565,38,19,57
61,5,7/19/42,9/12/42,1153229,888165,72483,20946,2134823,2041394,93429,California,457397,153328,610725,37,18,55
62,6,7/21/42,9/15/42,1141057,888165,72051,20822,2122095,2029222,92873,California,454457,152342,606799,37,19,56
63,7,7/24/42,9/17/42,1112079,888165,71022,20524,2091790,2000244,91546,California,464971,155868,620839,38,17,55
64,8,7/26/42,9/19/42,1086785,888165,70124,20265,2065339,1974950,90389,California,459092,153896,612988,40,15,55
65,1,7/29/42,9/22/42,1063855,888165,69310,20029,2041359,1952020,89339,California,466607,156417,623024,40,15,55
66,9,7/31/42,9/24/42,1024027,888165,67896,19620,1999708,1912192,87516,California,452681,151746,604427,40,15,55
67,10,8/4/42,9/26/42,1019129,888165,67722,19570,1994586,1907294,87292,California,440096,147526,587622,38,15,53
68,11,8/9/42,9/30/42,1017611,888165,67668,19555,1992999,1905776,87223,California,438236,146902,585138,36,16,52
69,2,8/10/42,10/6/42,1017289,888165,67656,19552,1992662,1905454,87208,California,469290,157316,626606,39,18,57
70,12,8/13/42,10/8/42,1020858,888165,67783,19588,1996394,1909023,87371,California,454376,152315,606691,39,17,56
71,3,8/15/42,10/10/42,1031009,888165,68143,19692,2007009,1919174,87835,California,456427,153003,609430,39,17,56
72,13,8/17/42,10/13/42,1038946,888165,68425,19774,2015310,1927111,88199,California,428864,143759,572623,39,18,57
73,14,8/19/42,10/17/42,1054972,888165,68994,19938,2032069,1943137,88932,California,433798,145414,579212,41,18,59
74,4,8/22/42,10/15/42,1049281,888165,68792,19880,2026118,1937446,88672,California,420955,141107,562062,36,18,54
75,5,8/25/42,10/22/42,1077887,888165,69808,20173,2056033,1966052,89981,California,426587,142996,569583,40,18,58
76,6,8/27/42,10/20/42,1069961,888165,69526,20092,2047744,1958126,89618,California,400296,134179,534475,34,20,54
77,7,8/31/42,10/24/42,1086062,888165,70098,20257,2064582,1974227,90355,California,411032,137780,548812,37,17,54
78,8,9/4/42,10/27/42,1097841,888165,70517,20378,2076901,1986006,90895,California,406689,136323,543012,35,18,53
79,1,9/7/42,10/29/42,1095214,888165,70423,20351,2074153,1983379,90774,California,417787,140045,557832,34,18,52
80,9,9/9/42,11/3/42,1101041,888165,70630,20411,2080247,1989206,91041,California,418716,140356,559072,36,19,55
81,10,9/11/42,10/31/42,1115539,888165,71145,20560,2095409,2003704,91705,California,397171,133131,530302,32,18,50
82,11,9/13/42,11/5/42,1112654,888165,71042,20530,2092391,2000819,91572,California,405547,135940,541487,35,18,53
83,2,9/18/42,11/7/42,1125730,888165,71507,20664,2106066,2013895,92171,California,413228,138516,551744,33,17,50
84,12,9/21/42,11/10/42,1130491,888165,71676,20713,2111045,2018656,92389,California,408827,137040,545867,33,17,50
85,3,9/23/42,11/12/42,1131448,888165,71710,20723,2112046,2019613,92433,California,415431,139255,554686,33,17,50
86,13,9/25/42,11/14/42,1121327,888165,71350,20619,2101461,2009492,91969,California,393531,131910,525441,33,17,50
87,4,9/27/42,11/17/42,1111833,888165,71013,20522,2091533,1999998,91535,California,396635,132951,529586,33,18,51
88,14,9/29/42,11/19/42,1101096,888165,70632,20412,2080305,1989261,91044,California,399365,133867,533232,32,19,51
89,6,9/30/42,11/21/42,1095686,888165,70440,20356,2074647,1983851,90796,California,395144,132451,527595,34,18,52
90,5,10/4/42,11/24/42,1085510,888165,70079,20252,2064006,1973675,90331,California,387302,129822,517124,32,19,51
91,7,10/7/42,11/28/42,1072776,888165,69626,20121,2050688,1960941,89747,California,400498,134247,534745,33,19,52
92,8,10/9/42,11/26/42,1064283,888165,69325,20034,2041807,1952448,89359,California,387072,129744,516816,29,19,48
93,1,10/11/42,12/3/42,1047961,888165,68745,19867,2024738,1936126,88612,California,412986,138435,551421,34,19,53
94,10,10/13/42,11/30/42,1040413,888165,68477,19789,2016844,1928578,88266,California,383618,128586,512204,29,19,48
95,9,10/15/42,12/5/42,1023059,888165,67861,19611,1998696,1911224,87472,California,394654,132687,527341,32,19,51
96,11,10/18/42,12/8/42,1009699,888165,67387,19474,1984725,1897864,86861,California,390603,130928,521531,31,20,51
97,2,10/21/42,12/10/42,1000156,888165,67048,19376,1974745,1888321,86424,California,398495,133575,532070,31,19,50
98,12,10/24/42,12/12/42,994400,888165,66844,19317,1968726,1882565,86161,California,393571,131924,525495,30,19,49
99,3,10/26/42,12/15/42,991950,888165,66757,19291,1966163,1880115,86048,California,404025,135430,539455,30,20,50
100,13,10/28/42,12/17/42,995486,888165,66882,19328,1969861,1883651,86210,California,396569,132929,529498,30,20,50
101,4,10/30/42,12/19/42,1005802,888165,67248,19434,1980649,1893967,86682,California,398929,133721,532650,29,21,50
102,14,10/31/42,12/21/42,980441,888165,66348,19174,1954128,1868606,85522,California,411520,137943,549463,31,20,51
103,6,11/3/42,12/22/42,989072,888165,66655,19262,1963154,1877237,85917,California,400472,134238,534710,31,18,49
104,5,11/5/42,12/27/42,998557,888165,66991,19360,1973073,1886722,86351,California,401071,134439,535510,34,18,52
105,8,11/7/42,12/23/42,1002115,888165,67117,19396,1976793,1890280,86513,California,395486,132566,528052,30,16,46
106,7,11/9/42,12/29/42,1007832,888165,67324,19456,1982777,1895997,86780,California,401797,134682,536479,34,16,50
107,10,11/11/42,12/28/42,1013807,888165,67533,19516,1989021,1901972,87049,California,386909,129690,516599,31,16,47
108,1,11/14/42,12/31/42,1019744,888165,67743,19577,1995229,1907909,87320,California,409679,137326,547005,35,12,47
109,9,11/16/42,12/31/42,1031411,888165,68158,19696,2007430,1919576,87854,California,386721,129627,516348,31,14,45
110,11,11/18/42,1/6/43,1002576,888165,67134,19402,1977277,1890741,86536,California,380297,127472,507769,34,15,49
111,2,11/21/42,1/8/43,1009151,888165,67367,19468,1984151,1897316,86835,California,380965,127696,508661,32,16,48
112,12,11/23/42,1/8/43,1012417,888165,67483,19502,1987567,1900582,86985,California,375398,125830,501228,34,12,46
113,3,11/25/42,1/10/43,992997,888165,66794,19302,1967258,1881162,86096,California,381013,127712,508725,33,13,46
114,13,11/27/42,1/12/43,817312,888165,60556,17500,1783533,1705477,78056,California,365834,122622,488456,32,14,46
115,4,11/28/42,1/13/43,930193,888165,64564,18658,1901580,1818358,83222,California,363805,121942,485747,32,14,46
116,14,12/1/42,1/16/43,987037,888165,66582,19241,1961025,1875202,85823,California,365989,122674,488663,30,16,46
117,6,12/4/42,1/17/43,937826,888165,64835,18736,1909562,1825991,83571,California,368298,123448,491746,30,14,44
118,8,12/7/42,1/20/43,927465,888165,64467,18630,1898727,1815630,83097,California,363101,121706,484807,29,15,44
119,5,12/9/42,1/22/43,933851,888165,64694,18690,1905400,1822016,83384,California,364086,122036,486122,29,15,44
120,10,12/12/42,1/25/43,975485,888165,66172,19123,1948945,1863650,85295,California,367052,123031,490083,28,16,44
121,7,12/13/42,1/26/43,960669,888165,65646,18971,1933451,1848834,84617,California,375125,125738,500863,29,15,44
122,9,12/17/42,1/28/43,988909,888165,66649,19260,1962983,1877074,85909,California,363570,121863,485433,26,16,42
123,1,12/19/42,1/31/43,958946,888165,65585,18953,1931649,1847111,84538,California,382722,128285,511007,27,16,43
124,11,12/22/42,2/2/43,957801,888165,65544,18941,1930451,1845966,84485,California,378368,126826,505194,27,15,42
125,2,12/23/42,2/6/43,937613,888165,64827,18734,1909339,1825778,83561,California,378051,126719,504770,27,18,45
126,12,12/27/42,2/7/43,939694,888165,64901,18755,1911515,1827859,83656,California,371578,124549,496127,25,17,42
127,3,12/28/42,2/9/43,960469,888165,65639,18969,1933242,1848634,84608,California,374827,125638,500465,27,16,43
128,13,12/29/42,2/11/43,944159,888165,65060,18801,1916185,1832324,83861,California,367751,123265,491016,28,16,44
129,4,12/30/42,2/12/43,954156,888165,65415,18904,1926640,1842321,84319,California,366503,122846,489349,29,15,44
130,14,12/31/42,2/15/43,978066,888165,66264,19149,1951644,1866231,85413,California,377218,126440,503658,30,16,46
131,6,1/3/43,2/17/43,927637,888165,64473,18632,1898907,1815802,83105,California,370380,124147,494527,28,17,45
132,8,1/5/43,2/19/43,930206,888165,64564,18658,1901593,1818371,83222,California,366850,122963,489813,28,17,45
133,5,1/7/43,2/21/43,929761,888165,64548,18654,1901128,1817926,83202,California,364836,122288,487124,28,17,45
134,10,1/9/43,2/23/43,944388,888165,65068,18804,1916425,1832553,83872,California,368126,123391,491517,28,17,45
135,7,1/11/43,2/25/43,952337,888165,65350,18885,1924737,1840502,84235,California,367574,123206,490780,28,17,45
136,9,1/12/43,2/27/43,969422,888165,65957,19061,1942605,1857587,85018,California,373128,125068,498196,28,18,46
137,1,1/15/43,2/28/43,977792,888165,66254,19146,1951357,1865957,85400,California,376449,126182,502631,28,16,44
138,11,1/19/43,3/3/43,974565,888165,66139,19113,1947982,1862730,85252,California,375142,125743,500885,25,18,43
139,2,1/20/43,3/5/43,974460,888165,66136,19112,1947873,1862625,85248,California,370292,124117,494409,27,17,44
140,12,1/21/43,3/7/43,980479,888165,66349,19174,1954167,1868644,85523,California,375015,125701,500716,28,17,45
141,3,1/24/43,3/9/43,979480,888165,66314,19164,1953123,1867645,85478,California,371936,124669,496605,27,17,44
142,13,1/26/43,3/11/43,973920,888165,66116,19107,1947308,1862085,85223,California,366779,122939,489718,28,16,44
143,4,1/28/43,3/13/43,964886,888165,65796,19014,1937861,1853051,84810,California,359105,120366,479471,27,17,44
144,14,1/30/43,3/15/43,975092,888165,66158,19119,1948534,1863257,85277,California,369111,123721,492832,28,16,44
145,6,1/31/43,3/17/43,983538,888165,66458,19205,1957366,1871703,85663,California,365501,122511,488012,28,17,45
146,8,2/2/43,3/19/43,967434,888165,65886,19040,1940525,1855599,84926,California,358861,120284,479145,28,17,45
147,5,2/4/43,3/21/43,976765,888165,66217,19136,1950283,1864930,85353,California,363212,121742,484954,28,17,45
148,10,2/6/43,3/23/43,976059,888165,66192,19129,1949545,1864224,85321,California,365339,122455,487794,28,17,45
149,7,2/8/43,3/24/43,967295,888165,65881,19039,1940380,1855460,84920,California,359028,120339,479367,28,16,44
150,9,2/9/43,3/26/43,966012,888165,65836,19026,1939039,1854177,84862,California,359016,120335,479351,29,16,45
151,1,2/12/43,3/28/43,974032,888165,66120,19108,1947425,1862197,85228,California,363521,121845,485366,28,16,44
152,11,2/15/43,3/30/43,955370,888165,65458,18916,1927909,1843535,84374,California,357277,119752,477029,28,15,43
153,2,2/17/43,3/31/43,964335,888165,65776,19008,1937284,1852500,84784,California,358858,120282,479140,27,15,42
154,12,2/18/43,3/31/43,951180,888165,65307,18873,1923525,1839345,84180,California,353670,118542,472212,27,14,41
155,3,2/20/43,4/4/43,942577,888165,65003,18785,1914530,1830742,83788,California,350951,117626,468577,27,16,43
156,4,2/24/43,4/7/43,930324,888165,64568,18659,1901716,1818489,83227,California,342844,114907,457751,27,15,42
157,13,2/24/43,4/6/43,930809,888165,64586,18664,1902224,1818974,83250,California,344828,115573,460401,26,15,41
158,14,2/27/43,4/9/43,939240,888165,64885,18751,1911041,1827405,83636,California,348993,116970,465963,27,14,41
159,6,2/28/43,4/10/43,925700,888165,64404,18612,1896881,1813865,83016,California,343292,115058,458350,27,14,41
160,8,3/2/43,4/12/43,939928,888165,64909,18758,1911760,1828093,83667,California,348850,116920,465770,27,14,41
161,5,3/4/43,4/14/43,949280,888165,65241,18854,1921540,1837445,84095,California,341152,114339,455491,27,14,41
162,10,3/6/43,4/16/43,962443,888165,65709,18989,1935306,1850608,84698,California,344283,115389,459672,27,14,41
163,7,3/9/43,4/17/43,983777,888165,66466,19208,1957616,1871942,85674,California,347263,116387,463650,27,12,39
164,9,3/10/43,4/19/43,1006652,888165,67279,19443,1981539,1894817,86722,California,342157,113778,455935,26,14,40
165,1,3/12/43,4/21/43,838257,888165,61299,17715,1805436,1726422,79014,California,355098,97366,452464,26,14,40
166,11,3/15/43,4/23/43,830244,888165,61015,17632,1797056,1718409,78647,California,330978,116076,447054,26,13,39
167,2,3/16/43,4/24/43,826326,888165,60876,17592,1792959,1714491,78468,California,326405,114622,441027,27,12,39
168,12,3/17/43,4/26/43,826424,888165,60879,17593,1793061,1714589,78472,California,324481,114109,438590,27,13,40
169,3,3/19/43,4/27/43,829557,888165,60991,17625,1796338,1717722,78616,California,320778,112937,433715,26,13,39
170,13,3/22/43,4/28/43,841946,888165,61430,17753,1809294,1730111,79183,California,325948,114975,440923,25,12,37
171,4,3/24/43,4/29/43,805196,888165,60126,17375,1770862,1693361,77501,California,304986,107722,412708,24,12,36
172,14,3/26/43,4/30/43,811908,888165,60364,17444,1777881,1700073,77808,California,308736,109254,417990,23,12,35
173,6,3/27/43,4/30/43,819931,888165,60649,17527,1786272,1708096,78176,California,312059,110649,422708,25,9,34
174,8,3/29/43,5/4/43,821348,888165,60699,17541,1787753,1709513,78240,California,312202,110928,423130,24,12,36
175,5,3/31/43,5/6/43,831402,888165,61056,17644,1798267,1719567,78700,California,312340,111218,423558,23,13,36
176,10,4/2/43,5/8/43,830289,888165,61017,17633,1797104,1718454,78650,California,316567,112971,429538,24,12,36
177,7,4/5/43,5/10/43,809220,888165,60268,17417,1775070,1697385,77685,California,306396,109576,415972,22,13,35
178,9,4/6/43,5/11/43,815332,888165,60485,17479,1781461,1703497,77964,California,307704,110159,417863,22,13,35
179,1,4/7/43,5/13/43,825473,888165,60846,17583,1792067,1713638,78429,California,308404,110578,418982,23,13,36
180,11,4/10/43,5/15/43,827959,888165,60934,17609,1794667,1716124,78543,California,310540,111582,422122,22,13,35
181,2,4/12/43,5/16/43,802111,888165,60016,17344,1767636,1690276,77360,California,298865,107599,406464,22,12,34
182,12,4/13/43,5/18/43,814597,888165,60459,17472,1780693,1702762,77931,California,302727,109103,411830,22,13,35
183,3,4/14/43,5/19/43,811437,888165,60347,17439,1777388,1699602,77786,California,303620,109559,413179,23,12,35
184,13,4/16/43,5/21/43,830380,888165,61020,17634,1797199,1718545,78654,California,309485,111870,421355,22,13,35
185,4,4/17/43,5/23/43,825698,888165,60854,17586,1792303,1713863,78440,California,306869,111046,417915,23,13,36
186,14,4/18/43,5/24/43,810107,888165,60300,17426,1775998,1698272,77726,California,299485,108532,408017,23,13,36
187,6,4/22/43,5/26/43,820959,888165,60685,17537,1787346,1709124,78222,California,302662,109852,412514,21,13,34
188,8,4/23/43,5/27/43,808944,888165,60259,17414,1774782,1697109,77673,California,300459,109141,409600,21,13,34
189,5,4/24/43,5/29/43,820870,888165,60682,17536,1787253,1709035,78218,California,305575,111109,416684,22,13,35
190,10,4/26/43,5/30/43,824924,888165,60826,17578,1791493,1713089,78404,California,306185,111448,417633,22,12,34
191,7,4/27/43,5/31/43,815022,888165,60474,17476,1781137,1703187,77950,California,299196,108982,408178,23,11,34
192,9,4/28/43,6/4/43,842199,888165,61439,17755,1809558,1730364,79194,California,310867,113299,424166,24,13,37
193,1,4/30/43,6/6/43,843574,888165,61488,17769,1810996,1731739,79257,California,311627,113719,425346,23,14,37
194,11,5/2/43,6/8/43,818801,888165,60609,17515,1785090,1706966,78124,California,302517,110485,413002,23,14,37
195,2,5/4/43,6/9/43,822801,888165,60752,17557,1789275,1710966,78309,California,301314,110140,411454,23,13,36
196,12,5/6/43,6/11/43,827330,888165,60911,17603,1794009,1715495,78514,California,307238,112441,419679,22,14,36
197,3,5/8/43,6/12/43,834696,888165,61173,17678,1801712,1722861,78851,California,311999,114324,426323,22,13,35
198,13,5/9/43,6/14/43,845615,888165,61561,17790,1813131,1733780,79351,California,315606,115765,431371,22,14,36
199,4,5/10/43,6/15/43,825552,888165,60848,17584,1792149,1713717,78432,California,303815,111575,415390,21,15,36
200,14,5/11/43,6/17/43,844839,888165,61533,17782,1812319,1733004,79315,California,312853,114966,427819,22,15,37
201,6,5/13/43,6/18/43,832587,888165,61098,17656,1799506,1720752,78754,California,309589,113898,423487,23,13,36
202,8,5/14/43,6/19/43,813807,888165,60431,17464,1779867,1701972,77895,California,305249,112399,417648,23,13,36
203,5,5/16/43,6/20/43,805812,888165,60147,17382,1771506,1693977,77529,California,301324,111092,412416,23,12,35
204,10,5/18/43,6/22/43,816847,888165,60539,17495,1783046,1705012,78034,California,306919,113302,420221,23,12,35
205,7,5/20/43,6/23/43,796784,888165,59827,17289,1762065,1684949,77116,California,299984,110880,410864,23,11,34
206,9,5/22/43,6/25/43,793509,888165,59711,17255,1758640,1681674,76966,California,298452,110430,408882,23,11,34
207,1,5/24/43,6/26/43,790115,888165,59590,17221,1755091,1678280,76811,California,297962,110358,408320,22,11,33
208,11,5/25/43,6/28/43,785551,888165,59428,17174,1750318,1673716,76602,California,294864,109349,404213,23,11,34
209,2,5/27/43,6/29/43,781695,888165,59291,17134,1746285,1669860,76425,California,294858,109507,404365,22,11,33
210,12,5/28/43,6/30/43,780243,888165,59240,17119,1744767,1668408,76359,California,293390,109112,402502,22,11,33
211,3,5/30/43,6/30/43,789050,888165,59552,17210,1753977,1677215,76762,California,296156,110374,406530,22,9,31
212,13,5/31/43,7/8/43,817149,888165,60550,17498,1783362,1705314,78048,California,316783,118859,435642,24,14,38
213,4,5/31/43,7/9/43,788028,888165,59516,17199,1752908,1676193,76715,California,304653,114760,419413,25,14,39
214,14,6/2/43,7/11/43,801747,888165,60003,17340,1767255,1689912,77343,California,308505,116866,425371,26,13,39
215,6,6/6/43,7/12/43,785926,888165,59441,17178,1750710,1674091,76619,California,299829,114071,413900,23,13,36
216,8,6/7/43,7/14/43,790093,888165,59589,17220,1755067,1678258,76809,California,300747,115023,415770,23,14,37
217,5,6/8/43,7/15/43,789564,888165,59571,17215,1754515,1677729,76786,California,301709,115768,417477,22,15,37
218,10,6/10/43,7/17/43,803412,888165,60062,17357,1768996,1691577,77419,California,308226,118715,426941,23,14,37
219,7,6/12/43,7/20/43,827392,888165,60914,17603,1794074,1715557,78517,California,312010,120706,432716,26,12,38
220,9,6/14/43,7/22/43,827837,888165,60929,17608,1794539,1716002,78537,California,310430,120742,431172,26,12,38
221,1,6/15/43,7/23/43,800734,888165,59967,17330,1766196,1688899,77297,California,295358,115106,410464,26,12,38
222,11,6/17/43,7/25/43,822943,888165,60756,17558,1789422,1711108,78314,California,299529,117484,417013,25,13,38
223,2,6/18/43,7/26/43,827229,888165,60908,17601,1793903,1715394,78509,California,296046,116288,412334,25,13,38
224,12,6/20/43,7/28/43,922872,888165,64304,18583,1893924,1811037,82887,California,303195,119341,422536,25,13,38
225,3,6/21/43,7/30/43,839971,888165,61360,17732,1807228,1728136,79092,California,304558,119550,424108,26,13,39
226,13,6/24/43,7/31/43,824148,888165,60798,17570,1790681,1712313,78368,California,300769,118371,419140,24,13,37
227,4,6/25/43,7/31/43,797886,888165,59866,17300,1763217,1686051,77166,California,287202,113260,400462,24,12,36
228,14,6/28/43,8/5/43,825178,888165,60835,17580,1791758,1713343,78415,California,304549,120351,424900,24,14,38
229,6,6/29/43,8/6/43,811818,888165,60361,17443,1777787,1699983,77804,California,299681,118582,418263,24,14,38
230,8,6/30/43,8/8/43,824907,888165,60825,17578,1791475,1713072,78403,California,308010,121975,429985,24,15,39
231,5,6/30/43,8/10/43,823468,888165,60774,17563,1789970,1711633,78337,California,307871,122014,429885,25,16,41
232,10,7/4/43,9/4/43,1050003,934797,70474,20366,2075640,1984800,90840,California,408421,172828,581249,37,25,62
233,7,7/8/43,8/12/43,829935,888165,61004,17629,1796733,1718100,78633,California,317390,125627,443017,21,14,35
234,9,7/10/43,9/8/43,993877,934797,68481,19790,2016945,1928674,88271,California,388151,163049,551200,36,24,60
235,2,7/11/43,8/15/43,802879,888165,60043,17352,1768439,1691044,77395,California,310338,122649,432987,20,15,35
236,11,7/12/43,8/17/43,823104,888165,60761,17559,1789589,1711269,78320,California,319881,126347,446228,23,13,36
237,2,7/13/43,8/19/43,797302,888165,59845,17294,1762606,1685467,77139,California,305648,120764,426412,23,14,37
238,12,7/15/43,8/21/43,796766,888165,59830,17291,1762052,1684931,77121,California,308739,121975,430714,24,13,37
239,3,7/18/43,8/22/43,783737,888165,59364,17155,1748421,1671902,76519,California,302725,119599,422324,22,13,35
